countries,Year,Territorial GHG emissions [t],Residential GHG emissions [t],Transfer GHG emissions [t],Footprint GHG emissions [t],GDP [MIO_EURO],Population,As [t],Pb [t],NOx [t],SOx [t],NH3 [t],PM2.5 [t],PM10 [t],NMVOC [t],Cd [t],Hg [t],Cr [t],Ni [t],External costs (Territorial & Low GHG with VOLY) scenario [Euro],External costs (Territorial & Low GHG with VSL) scenario [Euro],External costs (Territorial & Central GHG with VOLY) scenario [Euro],External costs (Territorial & Central GHG with VSL) scenario [Euro],External costs (Territorial & High GHG with VOLY) scenario [Euro],External costs (Territorial & High GHG with VSL) scenario [Euro],External costs (Residential & Low GHG with VOLY) scenario [Euro],External costs (Residential & Low GHG with VSL) scenario [Euro],External costs (Residential & Central GHG with VOLY) scenario [Euro],External costs (Residential & Central GHG with VSL) scenario [Euro],External costs (Residential & High GHG with VOLY) scenario [Euro],External costs (Residential & High GHG with VSL) scenario [Euro],External costs (Footprint & Low GHG with VOLY) scenario [Euro],External costs (Footprint & Low GHG with VSL) scenario [Euro],External costs (Footprint & Central GHG with VOLY) scenario [Euro],External costs (Footprint & Central GHG with VSL) scenario [Euro],External costs (Footprint & High GHG with VOLY) scenario [Euro],External costs (Footprint & High GHG with VSL) scenario [Euro],GDP [EURO]
Hungary,1991,86158340.0,,-13959600.0,,,10373153.0,4.0,714.0,216407.0,832120.0,112219.0,55873.0,80034.0,273391.0,2.0,3.0,13.0,16.0,65236463687.0,146533899224.0,68855113967.0,150152549504.0,104955458427.0,186252893964.0,,,,,,,,,,,,,
Ireland,1991,62367350.0,,-7599700.0,,,3520977.0,2.0,145.0,171264.0,183271.0,112727.0,28411.0,44558.0,154849.0,1.0,1.0,5.0,24.0,17443634807.0,33200042550.0,20063063507.0,35819471250.0,46194983157.0,61951390900.0,,,,,,,,,,,,,
Italy,1991,503760800.0,,-122909600.0,,,56744119.0,36.0,3297.0,2190993.0,1672220.0,474896.0,265325.0,538287.0,2052520.0,12.0,15.0,90.0,114.0,374907452406.0,976684270737.0,396065406006.0,997842224337.0,607141181206.0,1208917999537.0,,,,,,,,,,,,,
Lithuania,1991,44467840.0,,-8044000.000000001,,,3701968.0,1.0,10.0,158804.0,243997.0,83376.0,17028.0,20846.0,132230.0,0.0,1.0,3.0,38.0,6985713025.0,16031849962.0,8853362305.0,17899499242.0,27485387265.0,36531524202.0,,,,,,,,,,,,,
Latvia,1991,11360460.0,,-1934600.0,,,2658161.0,11.0,169.0,95291.0,81695.0,31746.0,28512.0,33519.0,82688.0,1.0,0.0,2.0,11.0,9212119627.0,16255048462.0,9689258947.0,16732187782.0,14449291687.0,21492220522.0,,,,,,,,,,,,,
Malta,1991,2471840.0,,-978240.0,,,361908.0,0.0,0.0,7001.0,11313.0,2257.0,525.0,856.0,4898.0,0.0,0.0,0.0,4.0,365260039.0,770060192.0,469077319.0,873877472.0,1504778279.0,1909578432.0,,,,,,,,,,,,,
Netherlands,1991,236887390.0,,-38725100.0,,,15010445.0,1.0,282.0,668528.0,184499.0,358199.0,55633.0,77579.0,572114.0,4.0,3.0,14.0,77.0,72003371437.0,177939333084.0,81952641817.0,187888603464.0,181208458227.0,287144419874.0,,,,,,,,,,,,,
Norway,1991,37339440.0,,,,98551.5,4249830.0,3.0,146.0,190243.0,42183.0,31030.0,38249.0,48729.0,323631.0,2.0,1.0,11.0,0.0,10469415903.588234,16047263536.588234,12037672383.588234,17615520016.588234,27682897743.588234,33260745376.588234,,,,,,,,,,,,,98551500000.0
Poland,1991,442074050.0,,36568200.0,,,38183160.0,104.0,541.0,1110892.0,2498666.0,433323.0,440449.0,761251.0,884952.0,11.0,15.0,55.0,182.0,145215798061.0,339654456031.0,163782908161.0,358221566131.0,349011935111.0,543450593081.0,,,,,,,,,,,,,
Portugal,1991,59242080.0,,-7124600.0,,,9970441.0,3.0,626.0,274440.0,308106.0,72867.0,64676.0,81372.0,252194.0,2.0,2.0,12.0,116.0,38931324481.0,73979439389.0,41419491841.0,76467606749.0,66241923361.0,101290038269.0,,,,,,,,,,,,,
Romania,1991,181336940.0,,12228300.0,,,23192274.0,47.0,459.0,400254.0,700152.0,262472.0,63777.0,108024.0,327617.0,4.0,3.0,19.0,88.0,61171186756.0,135102039764.0,68787338236.0,142718191244.0,144767516096.0,218698369104.0,,,,,,,,,,,,,
Sweden,1991,25520460.0,,-26970300.0,,,8590630.0,4.0,325.0,293466.0,100063.0,58350.0,45569.0,66380.0,350798.0,2.0,1.0,19.0,27.0,16866431744.0,26248500919.0,17938291064.0,27320360239.0,28631363804.0,38013432979.0,,,,,,,,,,,,,
Slovenia,1991,12700240.0,,-1627100.0,,,1999945.0,1.0,39.0,69517.0,187715.0,22371.0,13839.0,16523.0,62572.0,1.0,0.0,2.0,3.0,12806743433.0,37290256271.0,13340153513.0,37823666351.0,18661554073.0,43145066911.0,,,,,,,,,,,,,
Slovakia,1991,54262960.0,,-4025400.000000001,,,5310711.0,3.0,54.0,120348.0,135160.0,50323.0,87465.0,98437.0,236473.0,2.0,2.0,6.0,6.0,24136576953.0,61820405574.0,26415621273.0,64099449894.0,49151801513.0,86835630134.0,,,,,,,,,,,,,
Belgium,1992,145787340.0,,-49924600.0,,,10021997.0,9.0,255.0,422471.0,356888.0,130321.0,46739.0,64387.0,346642.0,7.0,6.0,48.0,78.0,66505965457.0,173771827044.0,72629033737.0,179894895324.0,133713929197.0,240979790784.0,,,,,,,,,,,,,
Bulgaria,1992,59460750.0,,15120900.0,,,8595465.0,11.0,204.0,201996.0,1114098.0,99215.0,33497.0,54246.0,429303.0,5.0,2.0,12.0,45.0,38496392071.0,99436681476.0,40993743571.0,101934032976.0,65907797821.0,126848087226.0,,,,,,,,,,,,,
Cyprus,1992,6429320.0,,-2818100.0,,,603069.0,0.0,26.0,20195.0,37613.0,6276.0,2673.0,5209.0,13125.0,0.0,0.0,0.0,7.0,1978006932.0,2638347306.0,2248038372.0,2908378746.0,4941923452.0,5602263826.0,,,,,,,,,,,,,
Czechia,1992,166603020.0,,-2547900.0,,,10312548.0,40.0,269.0,677247.0,1381400.0,111869.0,192299.0,284009.0,470795.0,3.0,5.0,21.0,40.0,100779571788.0,277091580877.0,107776898628.0,284088907717.0,177583564008.0,353895573097.0,,,,,,,,,,,,,
Germany,1992,1122249440.0,,-237963400.0,,1647737.1,80274564.0,38.0,1127.0,2465682.0,3236892.0,647544.0,219688.0,376910.0,3104294.0,23.0,25.0,116.0,280.0,334102082954.0,874181054278.0,381236559434.0,921315530758.0,851459074794.0,1391538046118.0,,,,,,,,,,,,,1647737100000.0
Denmark,1992,83433060.0,,-11069500.0,,118194.2,5162126.0,1.0,102.0,300223.0,184145.0,132419.0,23911.0,35266.0,220620.0,1.0,3.0,5.0,19.0,17343774410.0,35950306567.0,20847962930.0,39454495087.0,55806415070.0,74412947227.0,,,,,,,,,,,,,118194200000.0
Estonia,1992,24652560.0,,403680.0,,,1554878.0,14.0,120.0,45038.0,192704.0,16309.0,12577.0,46208.0,41746.0,3.0,1.0,12.0,16.0,7203432043.0,9255150267.0,8238839563.0,10290557787.0,18568262203.0,20619980427.0,,,,,,,,,,,,,
Greece,1992,102717260.0,,-19664700.0,,,10367163.0,3.0,450.0,416343.0,491978.0,85922.0,61765.0,86612.0,316816.0,8.0,2.0,6.0,45.0,37972753644.0,73594575801.0,42286878564.0,77908700721.0,85325410504.0,120947232661.0,,,,,,,,,,,,,
Spain,1992,270608590.0,,-43760500.0,,,39051336.0,10.0,1331.0,1370124.0,2054894.0,490986.0,208634.0,303187.0,1021104.0,23.0,12.0,29.0,210.0,159456443559.0,367186975179.0,170822004339.0,378552535959.0,284207003549.0,491937535169.0,,,,,,,,,,,,,
Finland,1992,35580000.0,,-49395700.0,,86806.9,5029002.0,18.0,165.0,288155.0,156202.0,33082.0,38765.0,60598.0,219559.0,3.0,1.0,48.0,52.0,12359624716.0,21084197567.0,13853984716.0,22578557567.0,28762004716.0,37486577567.0,,,,,,,,,,,,,86806900000.0
France,1992,540454540.0,,-138220500.0,,1083285.9,58604851.0,19.0,2091.0,2211876.0,1228726.0,665903.0,501349.0,619083.0,2884036.0,20.0,25.0,294.0,256.0,267216549907.0,619164147586.0,289915640587.0,641863238266.0,516366092847.0,868313690526.0,,,,,,,,,,,,,1083285899999.9999
Croatia,1992,15350310.0,,-1824000.0,,,4595865.0,1.0,261.0,75432.0,104578.0,45516.0,36614.0,49788.0,104415.0,1.0,1.0,4.0,13.0,18170741442.0,38991513985.0,18815454462.0,39636227005.0,25247234352.0,46068006895.0,,,,,,,,,,,,,
Hungary,1992,75764970.0,,-32896300.0,,,10373647.0,3.0,279.0,194612.0,714968.0,95109.0,54960.0,78494.0,244868.0,2.0,2.0,11.0,18.0,46515919472.0,119188208042.0,49698048212.0,122370336782.0,81443570642.0,154115859212.0,,,,,,,,,,,,,
Ireland,1992,62158030.0,,-9497800.0,,,3547492.0,2.0,153.0,179933.0,171049.0,115531.0,25046.0,41349.0,149963.0,1.0,1.0,5.0,24.0,17359353157.0,32514917755.0,19969990417.0,35125555015.0,46014204987.0,61169769585.0,,,,,,,,,,,,,
Italy,1992,505039600.0,,-172986700.0,,,56772923.0,36.0,2485.0,2229830.0,1573839.0,463039.0,238678.0,339255.0,2124206.0,11.0,15.0,88.0,111.0,321105810183.0,852767785212.0,342317473383.0,873979448412.0,553929065783.0,1085591040812.0,,,,,,,,,,,,,
Lithuania,1992,25662150.0,,-31322200.0,,,3706299.0,0.0,5.0,98540.0,121200.0,61818.0,9603.0,11875.0,108005.0,0.0,0.0,2.0,20.0,3958511531.0,9118441532.0,5036321831.0,10196251832.0,15788762681.0,20948692682.0,,,,,,,,,,,,,
Latvia,1992,6198720.0,,-4202100.0,,,2643000.0,8.0,128.0,77652.0,69802.0,24993.0,26134.0,30659.0,74424.0,1.0,0.0,2.0,9.0,7183180130.0,13344675325.0,7443526370.0,13605021565.0,10040790050.0,16202285245.0,,,,,,,,,,,,,
Malta,1992,2508070.0,,-1178200.0,,,365781.0,0.0,0.0,7068.0,11140.0,2354.0,556.0,900.0,4666.0,0.0,0.0,0.0,4.0,372555676.0,786680762.0,477894616.0,892019702.0,1528775946.0,1942901032.0,,,,,,,,,,,,,
Netherlands,1992,237206470.0,,-67147700.0,,,15129150.0,1.0,239.0,654726.0,174067.0,295311.0,53342.0,74314.0,525616.0,4.0,3.0,12.0,79.0,67149017447.0,165408197823.0,77111689187.0,175370869563.0,176501200117.0,274760380493.0,,,,,,,,,,,,,
Norway,1992,36392870.0,,,,101108.3,4273634.0,3.0,130.0,194430.0,36583.0,31868.0,36569.0,47177.0,349225.0,1.0,1.0,12.0,0.0,9660436025.117647,15153040496.117647,11188936565.117647,16681541036.117647,26437549095.117645,31930153566.117645,,,,,,,,,,,,,101108300000.0
Poland,1992,451000530.0,,17000500.0,,,38309226.0,79.0,548.0,1110511.0,2229750.0,409729.0,417957.0,693539.0,868952.0,10.0,14.0,53.0,171.0,138274924366.0,318188230112.0,157216946626.0,337130252372.0,346186168696.0,526099474442.0,,,,,,,,,,,,,
Portugal,1992,56457720.0,,-9139300.0,,,9950029.0,4.0,702.0,295555.0,366540.0,71832.0,65709.0,82760.0,255937.0,2.0,2.0,14.0,140.0,42175435058.0,79454423422.0,44546659298.0,81825647662.0,68202443978.0,105481432342.0,,,,,,,,,,,,,
Romania,1992,164348050.0,,11676600.0,,,22810035.0,34.0,324.0,411795.0,696996.0,230138.0,62237.0,100755.0,301005.0,3.0,3.0,15.0,70.0,54560635452.0,126674456095.0,61463253552.0,133577074195.0,130325086502.0,202438907145.0,,,,,,,,,,,,,
Sweden,1992,26170770.0,,-36113400.0,,,8644120.0,4.0,307.0,279349.0,93315.0,59415.0,44124.0,64839.0,330968.0,1.0,1.0,17.0,26.0,15967236024.0,24982440978.0,17066408364.0,26081613318.0,28031960994.0,37047165948.0,,,,,,,,,,,,,
Slovenia,1992,12568570.0,,-5859600.0,,,1998912.0,1.0,36.0,68530.0,193588.0,23312.0,13860.0,16657.0,61402.0,1.0,0.0,2.0,2.0,12872949687.0,37754319791.0,13400829627.0,38282199731.0,18667060457.0,43548430561.0,,,,,,,,,,,,,
Slovakia,1992,47909390.0,,-7161200.0,,,5295877.0,3.0,54.0,111643.0,132478.0,43368.0,81431.0,91830.0,223366.0,2.0,2.0,6.0,6.0,22482070263.0,57608862030.0,24494264643.0,59621056410.0,44568299053.0,79695090820.0,,,,,,,,,,,,,
Belgium,1993,144589810.0,,-41336500.0,,,10068319.0,9.0,218.0,417373.0,331868.0,133250.0,45845.0,63155.0,337768.0,5.0,4.0,39.0,65.0,63313570122.0,167270182525.0,69386342142.0,173342954545.0,129969472532.0,233926084935.0,,,,,,,,,,,,,
Bulgaria,1993,58463280.0,,12905500.0,,,8484863.0,13.0,426.0,209745.0,1558149.0,70505.0,35899.0,57284.0,420205.0,5.0,3.0,12.0,50.0,52372470171.0,127193775340.0,54827927931.0,129649233100.0,79324042251.0,154145347420.0,,,,,,,,,,,,,
