countries,Year,Territorial GHG emissions [t],Residential GHG emissions [t],Transfer GHG emissions [t],Footprint GHG emissions [t],GDP [MIO_EURO],Population,As [t],Pb [t],NOx [t],SOx [t],NH3 [t],PM2.5 [t],PM10 [t],NMVOC [t],Cd [t],Hg [t],Cr [t],Ni [t],External costs (Territorial & Low GHG with VOLY) scenario [Euro],External costs (Territorial & Low GHG with VSL) scenario [Euro],External costs (Territorial & Central GHG with VOLY) scenario [Euro],External costs (Territorial & Central GHG with VSL) scenario [Euro],External costs (Territorial & High GHG with VOLY) scenario [Euro],External costs (Territorial & High GHG with VSL) scenario [Euro],External costs (Residential & Low GHG with VOLY) scenario [Euro],External costs (Residential & Low GHG with VSL) scenario [Euro],External costs (Residential & Central GHG with VOLY) scenario [Euro],External costs (Residential & Central GHG with VSL) scenario [Euro],External costs (Residential & High GHG with VOLY) scenario [Euro],External costs (Residential & High GHG with VSL) scenario [Euro],External costs (Footprint & Low GHG with VOLY) scenario [Euro],External costs (Footprint & Low GHG with VSL) scenario [Euro],External costs (Footprint & Central GHG with VOLY) scenario [Euro],External costs (Footprint & Central GHG with VSL) scenario [Euro],External costs (Footprint & High GHG with VOLY) scenario [Euro],External costs (Footprint & High GHG with VSL) scenario [Euro],GDP [EURO]
Finland,2017,44060800.0,58914755.28,-10826200.0,69740955.28,226301.0,5503297.0,2.0,16.0,130693.0,35021.0,34242.0,17460.0,30585.0,88604.0,1.0,1.0,17.0,15.0,5236282636.0,9033704163.0,7086836236.0,10884257763.0,25548311436.0,29345732963.0,6172081818.639999,9969503345.64,8646501540.400002,12443923067.400002,33331784002.72,37129205529.72,6854132418.64,10651553945.64,9783252540.400002,13580674067.400002,39004712802.72,42802134329.72,226301000000.0
France,2017,438358340.0,493513539.97,-90517600.0,584031139.97,2297242.0,66809816.0,6.0,92.0,956296.0,126629.0,601743.0,212200.0,296154.0,1203383.0,3.0,3.0,33.0,28.0,91564510645.0,223660335045.0,109975560925.0,242071385325.0,293647705385.0,425743529785.0,95039288243.11,227135112643.11,115766856921.85,247862681321.85,322549030169.28,454644854569.28,100741897043.11,232837721443.11,125271204921.85,257367029321.85,369980252569.28,502076076969.28,2297242000000.0
Croatia,2017,20813570.0,26128267.05,-3163200.0,29291467.05,50096.9,4154213.0,1.0,8.0,54879.0,12488.0,32183.0,29436.0,38095.0,68824.0,1.0,0.0,2.0,4.0,6655168515.0,18750390513.0,7529338455.0,19624560453.0,16250224285.0,28345446283.0,6989994429.15,19085216427.15,8087381645.25,20182603643.25,19035125539.2,31130347537.2,7189276029.15,19284498027.15,8419517645.25,20514739643.25,20692642339.2,32787864337.2,50096900000.0
Hungary,2017,59707640.0,70447990.73,-15989600.0,86437590.73,127024.7,9797561.0,2.0,13.0,121915.0,27586.0,77951.0,47233.0,64896.0,123837.0,2.0,1.0,14.0,3.0,16751543383.0,44943997230.0,19259264263.0,47451718110.0,44276765423.0,72469219270.0,17428185478.99,45620639325.99,20387001089.65,48579454936.65,49904709205.520004,78097163052.52,18435530278.99,46627984125.99,22065909089.65,50258362936.65,58283259605.520004,86475713452.52,127024700000.0
Ireland,2017,70863390.0,78695264.56,-10722900.0,89418164.56,298528.3,4784383.0,1.0,9.0,111133.0,14520.0,129635.0,13178.0,30812.0,116979.0,0.0,0.0,4.0,5.0,7763706921.0,13131424416.0,10739969301.0,16107686796.0,40431729711.0,45799447206.0,8257115018.28,13624832513.279999,11562316129.8,16930033624.8,44535631980.44,49903349475.44,8932657718.279999,14300375213.279999,12688220629.800001,18055938124.800003,50154431580.44,55522149075.44,298528300000.0
Italy,2017,414043410.0,453523152.45,-92911300.0,546434452.45,1736592.8,60589445.0,8.0,210.0,674192.0,119276.0,363439.0,169954.0,236578.0,930831.0,4.0,7.0,46.0,32.0,124382716168.0,358278644674.0,141772539388.0,375668467894.0,315256728178.0,549152656684.0,126869939942.35,360765868448.35,145917912345.25,379813840851.25,335944113221.8,569840041727.8,132723351842.35,366619280348.35,155673598845.25,389569527351.25,384629634421.80005,618525562927.8,1736592800000.0
Lithuania,2017,13829370.0,24145114.6,-8965100.0,33110214.6,42276.3,2847904.0,0.0,4.0,55649.0,13373.0,39177.0,8614.0,23239.0,51770.0,0.0,0.0,2.0,3.0,2071401077.0,4685958408.0,2652234617.0,5266791948.0,8446740647.0,11061297978.0,2721292986.8,5335850317.8,3735387800.0,6349945131.0,13852190817.400002,16466748148.400002,3286094286.8,5900651617.8,4676723300.0,7291280631.0,18549903217.4,21164460548.4,42276300000.0
Latvia,2017,7685570.0,12711921.25,-7051200.0,19763121.25,26984.4,1950116.0,0.0,4.0,36307.0,3614.0,16421.0,18270.0,26863.0,35106.0,1.0,0.0,2.0,1.0,2067904584.0,5432160117.0,2390698524.0,5754954057.0,5610952354.0,8975207887.0,2384564712.75,5748820245.75,2918465405.25,6282720938.25,8244760409.0,11609015942.0,2828790312.75,6193045845.75,3658841405.25,7023096938.25,11939589209.0,15303844742.0,26984400000.0
Malta,2017,2029440.0,2264970.97,-7231400.0,9496370.97,11936.6,460297.0,0.0,1.0,4574.0,787.0,1302.0,567.0,1407.0,3293.0,0.0,0.0,0.0,0.0,294563261.0,550450587.0,379799741.0,635687067.0,1230135101.0,1486022427.0,309401712.11,565289038.11,404530492.85,660417818.85,1353553329.2800002,1609440655.2800002,764979912.11,1020867238.11,1163827492.85,1419714818.85,5142806929.280001,5398694255.280001,11936600000.0
Netherlands,2017,196536790.0,213671343.08,-6655100.0,220326443.08,738146.0,17081507.0,1.0,9.0,258197.0,27173.0,132006.0,17204.0,30869.0,248719.0,3.0,1.0,4.0,2.0,29055895891.0,64744013602.0,37310441071.0,72998558782.0,119659356081.0,155347473792.0,30135372735.04,65823490446.04,39109569144.4,74797686855.4,128637861894.92001,164325979605.92,30554644035.04,66242761746.04,39808354644.4,75496472355.4,132125134294.92001,167813252005.92,738146000000.0
Norway,2017,40531890.0,68490097.96,-6023400.0,74513497.96,356288.5,5258317.0,1.0,6.0,165865.0,15301.0,31144.0,25300.0,35372.0,159555.0,0.0,0.0,4.0,0.0,4906282912.941176,9025652300.941177,6608622292.941176,10727991680.941177,23591484202.941177,27710853590.941177,6667650014.421176,10787019402.421177,9544234128.741177,13663603516.741177,38241585173.98117,42360954561.98117,7047124214.421176,11166493602.421177,10176691128.741177,14296060516.741177,41397846773.98117,45517216161.98117,356288500000.0
Poland,2017,372154700.0,426061902.29,14636000.0,411425902.29,465772.6,37972964.0,16.0,310.0,767737.0,505610.0,304301.0,299647.0,401692.0,745820.0,11.0,9.0,46.0,82.0,81661418546.0,174543569344.0,97291915946.0,190174066744.0,253224735246.0,346106886044.0,85057572290.27,177939723088.27002,102952172186.45001,195834322984.45,281472109245.96,374354260043.96,84135504290.27,177017655088.27002,101415392186.45001,194297542984.45,273802845245.96002,366684996043.96,465772600000.0
Portugal,2017,93017640.0,74284233.45,-3051400.0,77335633.45,195947.2,10309573.0,2.0,25.0,165315.0,46260.0,58983.0,46516.0,57495.0,140039.0,2.0,1.0,7.0,21.0,15267494159.0,35362294819.0,19174235039.0,39269035699.0,58148626199.0,78243426859.0,14087289546.35,34182090206.35,17207227351.25,37302028011.25,48332321166.8,68427121826.8,14279527746.35,34374328406.35,17527624351.25,37622425011.25,49931254766.8,70026055426.8,195947200000.0
Romania,2017,67825970.0,120941836.04,-5183800.0,126125636.04,186399.0,19643949.0,4.0,45.0,220032.0,78385.0,163766.0,110140.0,142951.0,235267.0,3.0,2.0,14.0,12.0,27384104530.0,75753601566.0,30232795270.0,78602292306.0,58651876700.0,107021373736.0,30730404090.52,79099901126.52,35809961204.2,84179458240.2,86484590504.96,134854087540.96,31056983490.52,79426480526.52,36354260204.2,84723757240.2,89200901704.96,137570398740.96002,186399000000.0
Sweden,2017,13772650.0,56813725.79,-29797100.0,86610825.78999999,480025.5,9995153.0,1.0,9.0,138584.0,16982.0,52697.0,19340.0,38716.0,142891.0,1.0,0.0,7.0,7.0,3339472266.0,7735284093.0,3917923566.0,8313735393.0,9688663916.0,14084475743.0,6051060040.77,10446871867.77,8437236523.95,12833048350.95,32242187629.96,36637999456.96,7928277340.7699995,12324089167.77,11565932023.949999,15961743850.949999,47855868029.96,52251679856.96,480025500000.0
Slovenia,2017,18819900.0,17441478.48,-5212600.0,22654078.48,43011.3,2065895.0,1.0,6.0,34090.0,5051.0,18944.0,12367.0,14806.0,32464.0,1.0,0.0,2.0,2.0,5608014191.0,14985701051.0,6398449991.0,15776136851.0,14283988091.0,23661674951.0,5521173635.24,14898860495.24,6253715731.4,15631402591.4,13561695214.52,22939382074.52,5849567435.24,15227254295.24,6801038731.4,16178725591.4,16293097614.52,25670784474.52,43011300000.0
Slovakia,2017,36742070.0,42515465.73,-4767500.0,47282965.73,84669.9,5435343.0,1.0,9.0,63309.0,28042.0,30568.0,21222.0,28017.0,103418.0,1.0,1.0,4.0,1.0,8710466954.0,20700780420.0,10253633894.0,22243947360.0,25648561224.0,37638874690.0,9074190884.99,21064504350.989998,10859840445.65,22850153911.65,28673820586.519997,40664134052.52,9374543384.99,21364856850.989998,11360427945.65,23350741411.65,31171990586.519997,43162304052.52,84669900000.0
Belgium,2018,116976660.0,120309875.23,-108583700.0,228893575.23,460050.8,11398589.0,1.0,19.0,170235.0,31920.0,69683.0,18841.0,28315.0,117480.0,1.0,1.0,7.0,4.0,22838526083.0,56125785230.0,27751545803.0,61038804950.0,76764766343.0,110052025490.0,23048518642.49,56335777789.49,28101533402.15,61388792549.15,78511371123.52,111798630270.52,29889291742.489998,63176550889.49,39502821902.149994,72790081049.15,135409229923.51999,168696489070.52,460050800000.0
Bulgaria,2018,45866390.0,57074783.74,2856500.0,54218283.74,56199.8,7050034.0,3.0,91.0,95051.0,78581.0,43198.0,30110.0,43494.0,88888.0,1.0,0.0,4.0,5.0,14012242658.0,34331627794.0,15938631038.0,36258016174.0,35156648448.0,55476033584.0,14718371463.62,35037756599.62,17115512380.7,37434897516.7,41029846767.76,61349231903.76,14538411963.62,34857797099.62,16815579880.7,37134965016.7,39533040767.76,59852425903.76,56199800000.0
Cyprus,2018,8592760.0,9019009.61,-481840.0,9500849.61,21675.1,864236.0,0.0,1.0,13142.0,16946.0,5361.0,980.0,1829.0,7777.0,0.0,0.0,0.0,6.0,936064955.0,1271968259.0,1296960875.0,1632864179.0,4897327315.0,5233230619.0,962918680.43,1298821984.4299998,1341717084.05,1677620388.05,5120682110.639999,5456585414.639999,993274600.43,1329177904.4299998,1392310284.05,1728213588.05,5373166270.639999,5709069574.639999,21675100000.0
Czechia,2018,130891680.0,120101097.71,-6798400.0,126899497.71,210970.5,10610055.0,1.0,19.0,186537.0,96594.0,74013.0,28687.0,42118.0,209590.0,1.0,2.0,10.0,5.0,22661186767.0,52453528350.0,28158637327.0,57950978910.0,83002251247.0,112794592830.0,21981380082.73,51773721665.729996,27025626186.55,56817967769.55,77347986127.04,107140327710.04,22409679282.73,52202020865.729996,27739458186.55,57531799769.55,80910347727.04,110702689310.04,210970500000.0
Germany,2018,838514260.0,915944219.11,-128447500.0,1044391719.11,3365450.0,82792351.0,6.0,160.0,1191278.0,290263.0,591418.0,94945.0,209336.0,1095758.0,12.0,8.0,76.0,148.0,130602766636.0,304855784466.0,165820365556.0,340073383386.0,517157840496.0,691410858326.0,135480854059.93,309733871889.93,173950511262.55,348203529092.55,557731139069.64,731984156899.64,143573046559.93,317826064389.93,187437498762.55,361690516592.55,625037629069.64,799290646899.64,3365450000000.0
Denmark,2018,53009080.0,92425987.98,-15537300.0,107963287.98,302328.7,5781190.0,0.0,16.0,101448.0,10612.0,80486.0,14295.0,25666.0,107826.0,1.0,0.0,2.0,3.0,6936255388.0,13253117983.0,9162636748.0,15479499343.0,31373441268.0,37690303863.0,9419520590.740002,15736383185.740002,13301412085.9,19618274680.9,52027901049.520004,58344763644.520004,10398370490.740002,16715233085.740002,14932828585.9,21249691180.9,60169446249.520004,66486308844.520004,302328700000.0
Estonia,2018,22287350.0,21904445.38,-127280.0,22031725.38,25932.2,1319133.0,1.0,6.0,30525.0,30935.0,10063.0,5872.0,13528.0,22222.0,1.0,0.0,3.0,2.0,2126517435.0,2786445701.0,3062586135.0,3722514401.0,12400985785.0,13060914051.0,2102394443.9399998,2762322709.9399996,3022381149.9,3682309415.9,12200343764.119999,12860272030.119999,2110413083.9399998,2770341349.9399996,3035745549.9,3695673815.9,12267038484.119999,12926966750.119999,25932200000.0
Greece,2018,87911890.0,106942532.3,14165500.0,92777032.3,179557.7,10741165.0,3.0,15.0,258843.0,86185.0,63221.0,37009.0,58770.0,149368.0,2.0,1.0,13.0,30.0,13516007660.0,30614478904.0,17208307040.0,34306778284.0,54043388950.0,71141860194.0,14714938124.9,31813409368.9,19206524481.5,36304995725.5,64015445515.2,81113916759.2,13822511624.9,30920982868.9,17719146981.5,34817618225.5,56592723515.2,73691194759.2,179557700000.0
Spain,2018,282765690.0,340040962.01,-28240300.0,368281262.01,1203859.0,46658447.0,5.0,95.0,741535.0,198942.0,483942.0,148796.0,229615.0,575252.0,7.0,4.0,25.0,51.0,59551624323.0,141145767290.0,71427783303.0,153021926270.0,189906607413.0,271500750380.0,63159966459.630005,144754109426.63,77441686864.04999,159035829831.05,219918849946.24,301512992913.24,64939105359.630005,146533248326.63,80406918364.04999,162001061331.05,234716767146.24,316310910113.24,1203859000000.0
Finland,2018,54204110.0,60061907.23,-12138400.0,72200307.22999999,233462.0,5513130.0,2.0,15.0,127419.0,33124.0,33875.0,17425.0,30707.0,86630.0,1.0,1.0,15.0,14.0,5811469223.0,9550564741.0,8088041843.0,11827137361.0,30799563933.0,34538659451.0,6180510448.49,9919605966.49,8703110552.15,12442206070.15,33869049681.519997,37608145199.52,6945229648.49,10684325166.49,9977642552.149998,13716738070.149998,40229571281.52,43968666799.52,233462000000.0
France,2018,420714380.0,477008213.51,-104464400.0,581472613.51,2363306.0,67026224.0,6.0,91.0,901723.0,120988.0,599184.0,199846.0,282162.0,1164859.0,3.0,3.0,33.0,23.0,87641384024.0,213602963408.0,105311387984.0,231272967368.0,281590713204.0,407552292588.0,91187895535.13,217149474919.13,111222240502.54999,237183819886.55,311088681963.24,437050261347.24,97769152735.13,223730732119.13,122191002502.54999,248152581886.55,365828027563.24,491789606947.24,2363306000000.0
Croatia,2018,19097160.0,24886117.96,-6521400.0,31407517.96,52876.9,4105493.0,1.0,8.0,49666.0,9975.0,32679.0,28528.0,42443.0,69171.0,1.0,0.0,2.0,3.0,6510098776.0,18531634390.0,7312179496.0,19333715110.0,15313889536.0,27335425150.0,6874803127.48,18896338741.48,7920020081.8,19941555695.8,18347303507.04,30368839121.04,7285651327.48,19307186941.48,8604767081.8,20626302695.8,21764517107.04,33786052721.04,52876900000.0
Hungary,2018,60222040.0,70562888.64,-17380200.0,87943088.64,136055.4,9778371.0,2.0,13.0,121002.0,22918.0,76646.0,40906.0,59918.0,116878.0,1.0,1.0,14.0,3.0,15680093514.0,41735300456.0,18209419194.0,44264626136.0,43442453954.0,69497660896.0,16331566978.32,42386773920.32,19295208301.2,45350415243.2,48861058641.36,74916265583.36,17426519578.32,43481726520.32,21120129301.2,47175336243.2,57968283441.36,84023490383.36,136055400000.0
Ireland,2018,69998090.0,80201694.46,-11558000.0,91759694.46,327441.4,4830392.0,1.0,8.0,112322.0,13679.0,136370.0,13561.0,30686.0,117267.0,0.0,0.0,4.0,5.0,7708691832.0,13135253632.0,10648611612.0,16075173412.0,39977811322.0,45404373122.0,8351518912.98,13778080712.98,11719990080.3,17146551880.3,45324500059.03999,50751061859.03999,9079672912.98,14506234712.98,12933580080.3,18360141880.3,51380892059.03999,56807453859.03999,327441400000.0
Italy,2018,388460250.0,448332388.57,-101207000.0,549539388.5699999,1771391.2,60483973.0,7.0,211.0,677795.0,113452.0,350874.0,156156.0,261828.0,908036.0,4.0,7.0,46.0,32.0,122727457312.0,356546575633.0,139042787812.0,372861906133.0,301807632562.0,535626750883.0,126499402041.91,360318520362.91003,145329362361.85,379148480682.85,333180633172.68,566999751493.6799,132875443041.91,366694561362.91,155956097361.84998,389775215682.85,386213101172.68,620032219493.6799,1771391200000.0
Lithuania,2018,14468460.0,24979782.91,-9528700.0,34508482.91,45515.2,2808901.0,0.0,4.0,56403.0,13430.0,38415.0,9252.0,30064.0,49667.0,0.0,0.0,2.0,3.0,2200292454.0,5039582746.0,2807967774.0,5647258066.0,8870252514.0,11709542806.0,2862505797.33,5701796089.33,3911656679.55,6750946971.55,14378185718.84,17217476010.84,3462813897.33,6302104189.33,4912170179.549999,7751460471.549999,19371224518.839996,22210514810.839996,45515200000.0
Latvia,2018,10669830.0,13229710.41,-8215500.000000001,21445210.41,29153.6,1934379.0,0.0,4.0,37195.0,3853.0,16119.0,18954.0,27693.0,40272.0,1.0,0.0,2.0,1.0,2295047680.0,5762943594.0,2743180540.0,6211076454.0,7213839310.0,10681735224.0,2456320145.83,5924216059.83,3011967983.05,6479863897.05,8555216644.84,12023112558.84,2973896645.83,6441792559.83,3874595483.05,7342491397.05,12860138644.84,16328034558.84,29153600000.0
Malta,2018,2038210.0,2334710.37,-8784100.0,11118810.37,13044.0,475701.0,0.0,1.0,4412.0,207.0,1330.0,369.0,1343.0,3092.0,0.0,0.0,0.0,0.0,279537212.0,505896363.0,365142032.0,591501183.0,1219152022.0,1445511173.0,298216735.31,524575886.31,396274570.85,622633721.85,1374518215.88,1600877366.88,851615035.31,1077974186.31,1318605070.85,1544964221.85,5977386615.879999,6203745766.879999,13044000000.0
Netherlands,2018,191382060.0,208127274.98,-11615200.0,219742474.98,773987.0,17181084.0,1.0,6.0,252937.0,25223.0,129872.0,16947.0,30579.0,242184.0,3.0,1.0,4.0,2.0,28298735550.0,63229237710.0,36336782070.0,71267284230.0,116525865210.0,151456367370.0,29353684093.739998,64284186253.74,38095029642.899994,73025531802.9,125300357859.51999,160230860019.52,30085441693.739998,65015943853.74,39314625642.899994,74245127802.9,131386722659.51999,166317224819.52,773987000000.0
Norway,2018,39718700.0,71398300.65,-5340000.0,76738300.65,372657.6,5295619.0,1.0,6.0,163417.0,16268.0,32426.0,24773.0,34881.0,156386.0,1.0,0.0,4.0,0.0,5017794726.882353,9094189621.882353,6685980126.882353,10762375021.882353,23328115426.882355,27404510321.882355,7013609567.832354,11090004462.832354,10012338195.132355,14088733090.132355,39928226167.48236,44004621062.48236,7350029567.832354,11426424462.832354,10573038195.132355,14649433090.132355,42726386167.48236,46802781062.48236,372657600000.0
Poland,2018,372746170.0,426137341.06,4137200.0,422000141.06,499004.1,37976687.0,16.0,311.0,689321.0,480472.0,315071.0,373162.0,473606.0,755480.0,12.0,9.0,48.0,79.0,86279123136.0,187945117481.0,101934462276.0,203600456621.0,258115107506.0,359781101851.0,89642766912.78,191308761257.78,107540535237.3,209206529582.3,286092081141.44,387758075486.44,89382123312.78,191048117657.78,107106129237.3,208772123582.3,283924188341.44,385590182686.44,499004100000.0
Portugal,2018,64391840.0,71091776.09,-4479800.0,75571576.09,205184.1,10291027.0,2.0,26.0,160348.0,44979.0,59099.0,46625.0,57941.0,142978.0,2.0,1.0,7.0,21.0,13469336574.0,33492832917.0,16173793854.0,36197290197.0,43153974814.0,63177471157.0,13891432547.67,33914928890.67,16877287143.45,36900783486.45,46664741325.16,66688237668.16,14173659947.67,34197156290.67,17347666143.45,37371162486.45,49012156525.16,69035652868.16,205184100000.0
Romania,2018,71029080.0,121801221.92,-8105300.0,129906521.92,206071.9,19533481.0,4.0,47.0,222454.0,70970.0,161695.0,109395.0,145689.0,231370.0,3.0,2.0,14.0,11.0,27571100200.0,75797992979.0,30554321560.0,78781214339.0,60315506080.0,108542398859.0,30769745140.96,78996637919.95999,35885396461.6,84112289240.6,86920108446.08,135147001225.08,31280379040.96,79507271819.95999,36736452961.6,84963345740.6,91167285646.08,139394178425.08002,206071900000.0
Sweden,2018,16333480.000000002,55975285.47,-30577900.0,86553185.47,470673.1,10120242.0,1.0,8.0,134394.0,16654.0,52524.0,18306.0,37804.0,138569.0,0.0,0.0,6.0,7.0,3225018567.0,7497015388.0,3911024727.0,8183021548.0,10754752847.0,15026749668.0,5722452311.610001,9994449132.61,8073414301.349999,12345411122.349998,31527058913.28,35799055734.28,7648860011.61,11920856832.61,11284093801.35,15556090622.35,47549878513.28,51821875334.28,470673100000.0
Slovenia,2018,18735360.0,17529627.38,-6630200.0,24159827.38,45876.3,2066880.0,1.0,6.0,32722.0,4965.0,18847.0,11257.0,13860.0,32219.0,1.0,0.0,2.0,2.0,5369226572.0,14203292243.0,6156111692.0,14990177363.0,14006227532.0,22840293203.0,5293265416.94,14127331087.94,6029509766.9,14863575437.9,13374423639.119999,22208489310.12,5710968016.94,14545033687.94,6725680766.9,15559746437.9,16848648439.119999,25682714110.12,45876300000.0
Slovakia,2018,37578110.0,42383702.98,-6009700.0,48393402.98,89874.7,5443120.0,1.0,8.0,62459.0,20339.0,30562.0,17186.0,23420.0,94803.0,1.0,0.0,3.0,1.0,7985261086.0,18502408594.0,9563541706.0,20080689214.0,25308769796.0,35825917304.0,8288013443.74,18805160951.739998,10068128968.9,20585276476.9,27826900517.519997,38344048025.52,8666624543.74,19183772051.739998,10699147468.9,21216294976.9,30975983317.519997,41493130825.52,89874700000.0
Belgium,2019,115983240.0,119784239.99,-101777200.0,221561439.99,478676.2,11455519.0,1.0,21.0,158542.0,29651.0,68371.0,18248.0,27438.0,117251.0,1.0,1.0,7.0,4.0,22249948479.0,54167794187.0,27121244559.0,59039090267.0,75718222119.0,107636067827.0,22489411478.37,54407257186.37,27520349557.949997,59438195265.95,77709946113.76,109627791821.76,28901375078.370003,60819220786.37,38206955557.95,70124801265.95,131041198913.76001,162959044621.76,478676200000.0
Bulgaria,2019,44644710.0,55658251.46,2636000.0,53022251.46,61530.8,7000039.0,3.0,15.0,91587.0,72126.0,43526.0,29519.0,44091.0,86833.0,1.0,1.0,5.0,5.0,11330377728.0,31315629910.0,13205455548.0,33190707730.0,31911589038.0,51896841220.0,12024230839.98,32009483021.98,14361877401.3,34347129583.3,37682684763.04,57667936945.04,11858162839.98,31843415021.98,14085097401.3,34070349583.3,36301420763.04,56286672945.04,61530800000.0
Cyprus,2019,8669550.0,8883784.8,-234670.0,9118454.8,23177.9,875899.0,0.0,1.0,14336.0,15874.0,5495.0,1022.0,1958.0,7602.0,0.0,0.0,0.0,5.0,941851397.0,1283218984.0,1305972497.0,1647340084.0,4938513947.0,5279881534.0,955348189.4000001,1296715776.4,1328467151.0,1669834738.0,5050772982.200001,5392140569.200001,970132399.4000001,1311499986.4,1353107501.0,1694475088.0,5173740062.200001,5515107649.200001,23177900000.0
Czechia,2019,131887660.0,114047610.89,-7712600.0,121760210.89,225613.5,10649800.0,1.0,19.0,173719.0,79934.0,69900.0,27315.0,40567.0,202473.0,1.0,2.0,9.0,5.0,21754338278.0,49424490482.0,27293619998.0,54963772202.0,82554549538.0,110224701742.0,20630415184.07,48300567388.07,25420414841.45,53090567045.45,73206363804.36,100876516008.36,21116308984.07,48786461188.07,26230237841.45,53900390045.45,77247766204.36,104917918408.36,225613500000.0
Germany,2019,787811410.0,856201824.68,-133888800.0,990090624.68,3474110.0,83019213.0,5.0,158.0,1107200.0,260559.0,570449.0,90213.0,195887.0,1066245.0,11.0,7.0,72.0,139.0,122726645492.0,285973789545.0,155814724712.0,319061868765.0,485907705502.0,649154849555.0,127035241616.84,290282385669.83997,162995718253.4,326242862306.4,521744282794.31995,684991426847.32,135470236016.84,298717380069.83997,177054042253.4,340301186306.4,591902013994.32,755149158047.32,3474110000000.0
Denmark,2019,48317670.0,88967217.45,-15534800.0,104502017.45,309526.4,5806081.0,0.0,15.0,96648.0,9375.0,76020.0,12804.0,23350.0,102811.0,1.0,0.0,2.0,3.0,6393751209.0,12243221915.0,8423093349.0,14272564055.0,28668197079.0,34517667785.0,8954672698.35,14804143404.35,12691295831.25,18540766537.25,49968559942.8,55818030648.8,9933365098.35,15782835804.35,14322449831.25,20171920537.25,58108795142.8,63958265848.8,309526400000.0
Estonia,2019,15687340.0,15909951.03,-2320000.0,18229951.03,27951.0,1324820.0,1.0,6.0,25496.0,18929.0,9894.0,5076.0,11780.0,22592.0,1.0,0.0,2.0,2.0,1653146014.0,2196244213.0,2312014294.0,2855112493.0,8885009754.0,9428107953.0,1667170508.8899999,2210268707.89,2335388452.1499996,2878486651.1499996,9001657933.72,9544756132.72,1813330508.89,2356428707.8900003,2578988452.15,3122086651.15,10217337933.720001,10760436132.720001,27951000000.0
Greece,2019,80752540.0,101489759.4,13303100.0,88186659.4,183347.4,10724599.0,2.0,13.0,249825.0,80434.0,63136.0,36117.0,58434.0,148875.0,2.0,1.0,12.0,27.0,12802834253.0,29466452975.0,16194440933.0,32858059655.0,50029755193.0,66693373915.0,14109279075.2,30772897797.2,18371848970.0,35035467692.0,60896058158.600006,77559676880.6,13271183775.2,29934802497.2,16975023470.0,33638642192.0,53925233758.600006,70588852480.6,183347400000.0
Spain,2019,264584780.00000003,321855634.74,-31096300.0,352951934.74,1245513.0,46937060.0,4.0,103.0,679237.0,151178.0,477700.0,129891.0,211498.0,550500.0,7.0,3.0,23.0,46.0,54733073681.0,127749582156.0,65845634441.0,138862142916.0,176706657261.00003,249723165736.00003,58341137529.619995,131357646004.62,71859074188.7,144875582663.7,206716585144.76,279733093619.76,60300204429.619995,133316712904.62,75124185688.70001,148140694163.7,223011046344.76,296027554819.76,1245513000000.0
Finland,2019,46063140.0,57080528.27,-10797700.0,67878228.27000001,239858.0,5517919.0,2.0,13.0,120244.0,29592.0,33176.0,16214.0,29618.0,85136.0,1.0,1.0,14.0,12.0,5139010924.0,8668984836.0,7073662804.0,10603636716.0,26374118464.0,29904092376.0,5833106385.01,9363080297.01,8230488572.35,11760462484.35,32147229917.480003,35677203829.48,6513361485.01,10043335397.01,9364247072.350002,12894220984.350002,37805224717.48,41335198629.48,239858000000.0
France,2019,412832620.0,466826950.3,-98513600.0,565340550.3,2437635.0,67177636.0,6.0,91.0,849189.0,97662.0,579972.0,195261.0,277876.0,1129014.0,3.0,3.0,33.0,24.0,84495921931.0,204592582556.0,101834891971.0,221931552596.0,274811759751.0,394908420376.0,87897564739.9,207994225364.9,107504296652.5,227600957277.5,303104788828.2,423201449453.2,94103921539.9,214200582164.9,117848224652.5,237944885277.5,354725915228.19995,474822575853.19995,2437635000000.0
Croatia,2019,19063550.0,25062534.94,-5628800.0,30691334.94,55772.3,4076246.0,1.0,5.0,48527.0,7575.0,30584.0,27020.0,34723.0,73827.0,1.0,0.0,2.0,3.0,5951703209.0,16818953951.0,6752372309.0,17619623051.0,14739999759.0,25607250501.0,6329639260.22,17196890002.22,7382265727.700001,18249516469.7,17883467867.56,28750718609.56,6684253660.22,17551504402.22,7973289727.700001,18840540469.7,20832959067.56,31700209809.56,55772300000.0
Hungary,2019,59383730.0,69459021.96,-15973600.0,85432621.96,146554.5,9772756.0,2.0,13.0,115422.0,17449.0,76327.0,38293.0,57641.0,117620.0,1.0,1.0,13.0,3.0,15051927755.0,39779907990.0,17546044415.0,42274024650.0,42427827285.0,67155807520.0,15686671148.48,40414651383.479996,18603950070.8,43331930305.8,47707280272.03999,72435260507.04,16693007948.48,41420988183.479996,20281178070.8,45009158305.8,56077446672.03999,80805426907.04,146554500000.0
Ireland,2019,67822110.0,78058151.92,-12714400.0,90772551.92,356357.4,4904240.0,1.0,8.0,104218.0,10879.0,126112.0,12588.0,30461.0,116960.0,0.0,0.0,4.0,6.0,7333813026.0,12320931451.0,10182341646.0,15169460071.0,38599805736.0,43586924161.0,7978683666.96,12965802091.96,11257126047.6,16244244472.6,43963491702.08,48950610127.08,8779690866.96,13766809291.96,12592138047.6,17579256472.6,50625837302.08,55612955727.08,356357400000.0
