countries,Year,GrDP per capita (Territorial & Low GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & Low GHG with VSL) scenario [Euro],GrDP per capita (Territorial & Central GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & Central GHG with VSL) scenario [Euro],GrDP per capita (Territorial & High GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & High GHG with VSL) scenario [Euro],GrDP per capita (Residential & Low GHG with VOLY) scenario [Euro],GrDP per capita (Residential & Low GHG with VSL) scenario [Euro],GrDP per capita (Residential & Central GHG with VOLY) scenario [Euro],GrDP per capita (Residential & Central GHG with VSL) scenario [Euro],GrDP per capita (Residential & High GHG with VOLY) scenario [Euro],GrDP per capita (Residential & High GHG with VSL) scenario [Euro],GrDP per capita (Footprint & Low GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & Low GHG with VSL) scenario [Euro],GrDP per capita (Footprint & Central GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & Central GHG with VSL) scenario [Euro],GrDP per capita (Footprint & High GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & High GHG with VSL) scenario [Euro]
Croatia,1997,1158.4506204241404,-3459.170257055549,1000.9278740391628,-3616.6930034405264,-570.5490482300131,-5188.1699257097025,,,,,,,,,,,,
Hungary,1997,430.3804324855044,-5907.192733947647,123.94781321135213,-6213.625353221799,-2933.082364785545,-9270.655531218694,394.6263452152933,-5942.946821217858,64.357667761,-6273.215498672152,-3230.465566842538,-9568.038733275689,344.4409938689957,-5993.132172564156,-19.284584482830343,-6356.857750915981,-3647.880235183177,-9985.453401616325
Ireland,1997,15761.222795629497,11736.223846531628,14962.517290363356,10937.51834126549,6994.479035446403,2969.4800863485343,,,,,,,,,,,,
Italy,1997,14577.165280361452,6596.512947627946,14192.382840682294,6211.730507948785,10353.719930549709,2373.067597816204,,,,,,,,,,,,
Lithuania,1997,1619.92233779532,595.2410269973936,1353.3699758055502,328.68866500762385,-1305.8071592828678,-2330.4884700807943,,,,,,,,,,,,
Latvia,1997,-776.0609400256533,-3009.5279433370197,-756.7101822069668,-2990.1771855183333,-563.6633363491202,-2797.1303396604867,,,,,,,,,,,,
Malta,1997,7627.833114405947,6471.8752533396255,7318.483053447125,6162.525192380803,4232.347921500767,3076.3900604344476,7584.094097691432,6428.13623662511,7245.584692256263,6089.626831189943,3868.550385653047,2712.5925245867265,7407.072034530225,6251.114173463903,6950.547920320918,5794.590059254599,2396.1763999947575,1240.2185389284366
Netherlands,1997,20410.699694490435,15672.269149945456,19763.66123962532,15025.230695080336,13308.682368470903,8570.251823925923,20357.344937906575,15618.914393361592,19674.736645318873,14936.306100773892,12864.90629783684,8126.475753291859,20211.460895354543,15473.03035080956,19431.596574398824,14693.166029853845,11651.521562959644,6913.091018414661
Norway,1997,30861.01428164376,29359.577894936134,30462.259557343474,28960.82317063585,26484.206474443017,24982.77008773539,,,,,,,,,,,,
Poland,1997,386.9050090424683,-3713.6925928938585,-64.63789848279218,-4165.235500419118,-4569.315952127651,-8669.913554063976,,,,,,,,,,,,
Portugal,1997,7334.502482994182,3885.311253966108,7083.41475324359,3634.223524215515,4578.515735017448,1129.3245059893725,7265.053066941579,3815.8618379135046,6967.665726489252,3518.4744974611767,4000.872972929127,551.681743901052,7164.074476283486,3714.8832472554095,6799.368075392427,3350.176846364351,3160.987552217351,-288.20367681072446
Romania,1997,-1273.7678363723944,-5020.931042754579,-1560.5537054916022,-5307.716911873786,-4421.584161704645,-8168.74736808683,,,,,,,,,,,,
Sweden,1997,26061.44461749614,25192.42175209698,25936.383898963642,25067.36103356448,24688.754349794148,23819.73148439499,,,,,,,,,,,,
Slovenia,1997,4024.543140903146,-6373.088738790199,3726.861472811375,-6670.7704068819685,757.1324506577546,-9640.49942903559,,,,,,,,,,,,
Slovakia,1997,601.1131527596928,-3776.4056175092014,259.8432612645036,-4117.675509004389,-3144.7301800803575,-7522.248950349252,493.19231316923117,-3884.3264570996625,79.97519528040077,-4297.543574988492,-4042.3574808010203,-8419.876251069914,456.3323379920028,-3921.1864322768906,18.541903318353665,-4358.97686695054,-4348.938861640191,-8726.457631909085
Belgium,1998,17431.160109176923,8961.376348081252,16807.160695503964,8337.376934408294,10582.023687671357,2112.2399265756876,,,,,,,,,,,,
Bulgaria,1998,-3518.311939467839,-11824.359599067991,-3769.1518588226777,-12075.199518422833,-6271.578673338805,-14577.626332938959,,,,,,,,,,,,
Cyprus,1998,10447.529277341291,9350.687375132366,9971.075614433921,8874.233712224996,5217.883120191348,4121.041217982421,,,,,,,,,,,,
Czechia,1998,1169.3151057007278,-5370.321515371451,580.803640891824,-5958.832980180354,-5290.298829463666,-11829.935450535844,,,,,,,,,,,,
Germany,1998,21843.70949644882,18068.351822546025,21300.392493111434,17525.03481920864,15880.158578864672,12104.80090496188,,,,,,,,,,,,
Denmark,1998,27532.014067982913,25077.922468016153,26864.148579565845,24410.05697959908,20201.39525464318,17747.303654676423,27368.07338484681,24913.981784880056,26590.914107672346,24136.822507705587,18837.82512824135,16383.733528274592,27315.575566207604,24861.48396624084,26503.417743273665,24049.326143306906,18401.176604956505,15947.085004989745
Estonia,1998,1400.7210700939077,371.6107708563941,958.8550959963361,-70.25520324117699,-3449.284026548482,-4478.3943257859955,,,,,,,,,,,,
Greece,1998,8481.520915156758,4899.7795853458965,8007.204829775793,4425.4634999649315,3275.337216094266,-306.40411371659553,,,,,,,,,,,,
Spain,1998,10818.597192134639,6448.766457884573,10500.206477873888,6130.375743623824,7323.8800665583085,2954.0493323082437,,,,,,,,,,,,
Finland,1998,21739.420686842877,20423.222755247407,21345.974767399686,20029.776835804216,17420.883332954498,16104.68540135903,,,,,,,,,,,,
France,1998,19091.690812966284,14347.263888255795,18723.68669636534,13979.259771654853,15052.407533132124,10307.980608421632,,,,,,,,,,,,
Croatia,1998,1503.104319729361,-3297.996928900734,1342.7685773622534,-3458.3326712678418,-256.77132863341,-5057.872577263505,,,,,,,,,,,,
Hungary,1998,764.1687218450616,-5275.022116644377,463.5943523386426,-5575.5964861507955,-2534.9928101182486,-8574.183648607685,721.3720147321079,-5317.81882375733,392.266507150386,-5646.924331339051,-2890.952723248211,-8930.143561737648,660.7800766606189,-5378.410761828818,291.2799436979048,-5747.910894791533,-3394.9237637158344,-9434.11460220527
Ireland,1998,17697.802600648833,13482.39740931492,16879.895384885305,12664.490193551392,8720.297208577711,4504.892017243797,,,,,,,,,,,,
Italy,1998,15395.24854171592,7661.832072115221,14999.631149247756,7266.2146796470615,11052.876686291576,3319.4602166908794,,,,,,,,,,,,
Lithuania,1998,2029.2628125788651,928.6469085224246,1839.7511681485441,739.1352640921036,-50.85309414442064,-1151.4689982008613,,,,,,,,,,,,
Latvia,1998,-396.07848185033885,-2593.542238914668,-384.24025059598324,-2581.704007660312,-266.13980070134176,-2463.6035577656708,,,,,,,,,,,,
Malta,1998,8179.978082961976,7015.586197471993,7875.658031735455,6711.266146245472,4839.703234975636,3675.3113494856525,8138.30576628941,6973.913880799426,7806.204170614509,6641.812285124528,4493.095394714924,3328.7035092249394,7771.318500036442,6606.926614546458,7194.5587268595655,6030.166841369582,1440.693370642623,276.30148515263954
Netherlands,1998,21952.51764805236,17511.945272359,21308.471108952795,16867.898733259437,14883.340159364343,10442.767783670983,21897.050975361108,17456.478599667746,21216.02665446738,16775.45427877402,14421.998310313304,9981.425934619943,21735.158576187772,17294.58620049441,20946.205989178492,16505.63361348513,13075.46470449066,8634.8923287973
Norway,1998,29641.242415406832,28208.796913449773,29267.923596745382,27835.478094788323,25543.623953432358,24111.178451475294,,,,,,,,,,,,
Poland,1998,1091.9233537348794,-2600.900311275388,680.0973121325288,-3012.7263528777394,-3428.357721948064,-7121.181386958332,,,,,,,,,,,,
Portugal,1998,7558.981766191772,3157.8826040645536,7287.403007354232,2886.303845227013,4578.081579903526,176.9824177763077,7492.216307702434,3091.117145575216,7176.127243205333,2775.0280810781155,4022.7625283414104,-378.33663378580826,7356.860677540356,2955.7615154131377,6950.534526268538,2549.4353641413186,2896.947445723492,-1504.1517164037268
Romania,1998,-626.4478761585506,-3911.8878794915745,-877.9211014533233,-4163.361104786346,-3386.6658966559353,-6672.105899988959,,,,,,,,,,,,
Sweden,1998,26619.221279043813,25787.30893183199,26495.1657364547,25663.253389242876,25257.564013958552,24425.65166674673,,,,,,,,,,,,
Slovenia,1998,5053.5741920467435,-4761.682980649628,4767.147413778771,-5048.1097589176,1909.6993162958963,-7905.557856400475,,,,,,,,,,,,
Slovakia,1998,794.3838454613792,-3588.6021146510993,467.4835011554202,-3915.5024589570594,-2793.736600373075,-7176.722560485555,674.0985487828647,-3708.887411329615,267.008006691229,-4115.977953421249,-3794.2047822705617,-8177.190742383043,619.5207272836951,-3763.465232828784,176.0449708592798,-4206.9409892532,-4248.153646803336,-8631.139606915815
Belgium,1999,18788.34917628703,11005.236980200812,18189.52376913009,10406.411573043875,12215.527445350152,4432.415249263935,,,,,,,,,,,,
Bulgaria,1999,-2785.630016435468,-9557.679127587322,-3002.6212213276895,-9774.670332479544,-5167.366812990568,-11939.415924142424,,,,,,,,,,,,
Cyprus,1999,11327.233347294181,10219.72286347754,10839.956415791185,9732.44593197454,5978.78893246366,4871.278448647017,,,,,,,,,,,,
Czechia,1999,2129.259235204096,-2750.6449402752532,1582.2970487445555,-3297.607126734793,-3874.3019066494285,-8754.206082128778,,,,,,,,,,,,
Germany,1999,22703.469949374434,19159.54032222115,22179.671138615715,18635.74151146243,16954.154431284678,13410.224804131394,,,,,,,,,,,,
Denmark,1999,29201.41605457115,26996.385929666587,28555.079607390657,26350.04948248609,22107.1040986138,19902.073973709237,29050.36154588519,26845.331420980638,28303.32209291406,26098.291968009496,20850.714216844885,18645.68409194033,28922.511398987917,26717.48127408335,28090.238514751927,25885.208389847372,19787.325693445302,17582.295568540743
Estonia,1999,1845.750332973956,879.1923853550915,1421.4526959471066,454.89474832824226,-2811.4213496302664,-3777.979297249132,,,,,,,,,,,,
Greece,1999,9547.566642860173,6001.3443224676985,9077.515497357219,5531.293176964744,4388.19573626822,841.973415875744,,,,,,,,,,,,
Spain,1999,11859.382078703306,7506.781594795776,11518.695631290015,7166.095147382485,8119.942739238372,3767.3422553308433,,,,,,,,,,,,
Finland,1999,23131.055405739076,21824.304692027323,22746.129602689798,21439.37888897804,18906.03647226961,17599.285758557853,,,,,,,,,,,,
France,1999,20224.562878253695,15730.480402505827,19864.68587826103,15370.603402513156,16274.484378334162,11780.401902586289,,,,,,,,,,,,
Croatia,1999,1388.981204030516,-3363.2478296881695,1223.7428849730316,-3528.4861487456533,-424.70605990997154,-5176.935093628656,,,,,,,,,,,,
Hungary,1999,1225.7671226837963,-4778.546254828634,913.4564391028315,-5090.856938409599,-2202.2144280501248,-8206.527805562555,1196.1745049523008,-4808.13887256013,864.1354095503386,-5140.177967962091,-2448.349851721612,-8452.663229234044,1133.2348173398993,-4871.078560172531,759.2359301963365,-5245.077447316095,-2971.848205831111,-8976.161583343539
Ireland,1999,21135.94701455464,17258.86936462589,20311.620236944957,16434.542587016203,12087.97928888646,8210.901638957708,,,,,,,,,,,,
Italy,1999,16340.685984048705,8954.53643185663,15948.169934640868,8562.020382448793,12032.35506078649,4646.205508594417,,,,,,,,,,,,
Lithuania,1999,2233.9933257003377,1280.808225933654,2068.38007086866,1115.194971101976,416.1906952859701,-536.9944044807137,,,,,,,,,,,,
Latvia,1999,-125.19413082765934,-2262.235967269744,-163.8509683034017,-2300.892804745487,-549.4989421685459,-2686.540778610631,,,,,,,,,,,,
Malta,1999,8845.824512095072,7686.9516973475465,8537.098202108195,7378.225387360668,5457.185728667666,4298.312913920139,8803.238467327645,7644.365652580118,8466.121460829147,7307.248646081621,5102.977991236993,3944.105176489466,8538.437498376023,7379.564683628496,8024.786512576443,6865.913697828917,2900.5064399568328,1741.6336252093063
Netherlands,1999,23687.444820997163,19363.63907888371,23081.348409302533,18757.54266718908,17034.815159301346,12711.00941718789,23626.300626516433,19302.494884402986,22979.441418501323,18655.635676387872,16526.250748064827,12202.445005951377,23721.68190438525,19397.876162271798,23138.410214949345,18814.60447283589,17319.58074176733,12995.774999653877
Norway,1999,32857.548621525304,31480.283153435095,32492.632670422478,31115.367202332258,28852.161634420416,27474.896166330203,,,,,,,,,,,,
Poland,1999,1343.8777239744823,-2147.8909329440053,941.9711325034074,-2549.7975244150803,-3067.525577648506,-6559.294234566994,,,,,,,,,,,,
Portugal,1999,8536.78107694848,4646.930679849694,8235.213169433593,4345.362772334808,5226.714282558891,1336.863885460105,8466.750608097827,4576.900210999041,8118.495721349173,4228.645324250386,4644.2386368804455,754.3882397816594,8274.346012035969,4384.495614937182,7797.821394579408,3907.97099748062,3043.9210442389517,-845.9293528598354
Romania,1999,-437.330006787885,-3482.277725664942,-656.5457354716912,-3701.493454348749,-2843.483600198234,-5888.431319075291,,,,,,,,,,,,
Sweden,1999,28418.262539921183,27630.832776467807,28310.915838502377,27523.486075049,27240.00469815758,26452.574934704204,,,,,,,,,,,,
Slovenia,1999,6122.2020897381335,-3060.4645322781685,5848.661807864598,-3334.004814151705,3119.7718529833687,-6062.894769032934,,,,,,,,,,,,
