countries,Year,GrDP (Territorial & Low GHG with VOLY) scenario [Million Euro],GrDP (Territorial & Low GHG with VSL) scenario [Million Euro],GrDP (Territorial & Central GHG with VOLY) scenario [Million Euro],GrDP (Territorial & Central GHG with VSL) scenario [Million Euro],GrDP (Territorial & High GHG with VOLY) scenario [Million Euro],GrDP (Territorial & High GHG with VSL) scenario [Million Euro],GrDP (Residential & Low GHG with VOLY) scenario [Million Euro],GrDP (Residential & Low GHG with VSL) scenario [Million Euro],GrDP (Residential & Central GHG with VOLY) scenario [Million Euro],GrDP (Residential & Central GHG with VSL) scenario [Million Euro],GrDP (Residential & High GHG with VOLY) scenario [Million Euro],GrDP (Residential & High GHG with VSL) scenario [Million Euro],GrDP (Footprint & Low GHG with VOLY) scenario [Million Euro],GrDP (Footprint & Low GHG with VSL) scenario [Million Euro],GrDP (Footprint & Central GHG with VOLY) scenario [Million Euro],GrDP (Footprint & Central GHG with VSL) scenario [Million Euro],GrDP (Footprint & High GHG with VOLY) scenario [Million Euro],GrDP (Footprint & High GHG with VSL) scenario [Million Euro]
Slovakia,1996,167.91045900000245,-25110.573961,-1666.555461,-26945.039881,-19967.536900999996,-45246.02132099999,-426.1839635999968,-25704.668383599997,-2656.7128319999974,-27935.197251999994,-24908.893685799998,-50187.3781058,-693.0330635999962,-25971.517483599997,-3101.461331999999,-28379.945751999996,-27128.4004858,-52406.884905800005
Belgium,1997,166242.333155,77927.76099400001,160077.079655,71762.50749400002,98571.33640500002,10256.76424400002,,,,,,,,,,,,
Bulgaria,1997,-33905.19083399999,-107017.598469,-36143.030214,-109255.437849,-58468.142124000005,-131580.549759,,,,,,,,,,,,
Cyprus,1997,6339.37556,5625.026127000001,6031.09892,5316.749487000001,2955.672440000001,2241.323007000001,,,,,,,,,,,,
Czechia,1997,-4682.640692999994,-95419.24829,-10992.012152999989,-101728.61975,-73935.503623,-164672.11121999996,,,,,,,,,,,,
Germany,1997,1731198.7526470001,1396384.7322820001,1685577.579847,1350763.559482,1230452.070247,895638.0498820001,,,,,,,,,,,,
Denmark,1997,139892.169616,125384.47228,136182.824116,121675.12678,99177.686866,84669.98953,139285.96728577,124778.26994977001,135172.48689895,120664.78956295001,94135.62303996002,79627.92570396002,139161.41628577,124653.71894977,134964.90189895002,120457.20456295,93099.67503996001,78591.97770396002
Estonia,1997,1037.321915,-504.8979159999999,327.9385549999997,-1214.2812759999997,-6749.004964999999,-8291.224795999999,,,,,,,,,,,,
Greece,1997,88608.610507,51410.583631,83765.79588700001,46567.76901100001,35452.95479700001,-1745.0720789999905,,,,,,,,,,,,
Spain,1997,396348.312568,213928.134518,383939.99216799997,201519.81411800004,260152.22436800002,77732.04631800001,,,,,,,,,,,,
Finland,1997,103984.527208,96760.705991,101887.762468,94663.941251,80970.038038,73746.216821,,,,,,,,,,,,
France,1997,1081009.648542,799051.046657,1059446.802762,777488.200877,844331.746052,562373.1441670001,,,,,,,,,,,,
Croatia,1997,5251.289099,-15680.515632000002,4537.234078999998,-16394.570652000002,-2586.314811,-23518.119542,,,,,,,,,,,,
Hungary,1997,4433.455139000005,-60851.451429,1276.8170390000014,-64008.089529,-30214.405911,-95499.31247899999,4065.1434547700046,-61219.763113229994,662.9642319499981,-64621.94233605,-33277.82372903999,-98562.73029703999,3548.17175477001,-61736.73481322999,-198.65526805000263,-65483.56183605,-37577.715329039995,-102862.62189703996
Ireland,1997,57606.560063000004,42895.370029000005,54687.327383,39976.137349000004,25564.506123000006,10853.316089000007,,,,,,,,,,,,
Italy,1997,829096.158574,375185.67154,807211.1324740001,353300.64544,588881.943524,134971.45649,,,,,,,,,,,,
Lithuania,1997,5812.302406999999,2135.732542999999,4855.909067,1179.3392029999995,-4685.253063,-8361.822927000001,,,,,,,,,,,,
Latvia,1997,-1897.400705,-7358.030983,-1850.0898049999996,-7310.720082999999,-1378.107255,-6838.737533,,,,,,,,,,,,
Malta,1997,2909.293689,2468.405581,2791.3060290000003,2350.417921,1614.2386590000003,1173.3505510000005,2892.6114093300002,2451.72330133,2763.5022295500003,2322.61412155,1475.4844598400005,1034.5963518400004,2825.09430933,2384.20620133,2650.97372955,2210.0856215500003,913.9136598400005,473.0255518400004
Netherlands,1997,317735.54608899995,243971.89078999998,307663.029229,233899.37392999997,207177.68245899997,133414.02716,316904.9668843,243141.3115853,306278.73055449995,232515.07525549998,200269.37288339998,126505.71758439997,314633.9743843,240870.31908529997,302493.74305449997,228730.0877555,181380.48288340002,107616.82758440002
Norway,1997,135563.60948917648,128968.22885317648,133811.99402917648,127216.61339317648,116337.54455917649,109742.16392317647,,,,,,,,,,,,
Poland,1997,14949.754579000015,-143494.63446599996,-2497.5658009999897,-160941.95484599995,-176555.357211,-334999.74625599995,,,,,,,,,,,,
Portugal,1997,73962.560601,39180.24020600001,71430.542721,36648.222326,46170.65006100001,11388.329666000005,73262.21907744001,38479.89868244001,70263.30684840001,35480.98645340001,40345.58723012001,5563.266835120012,72243.93117744001,37461.61078244001,68566.16034840001,33783.839953400005,31876.01803012,-2906.302364880001
Romania,1997,-28764.049500999994,-113381.971919,-35240.208421,-119858.13083899999,-99847.60336099999,-184465.525779,,,,,,,,,,,,
Sweden,1997,230500.420858,222814.348994,229394.32145800002,221708.24959400002,218359.663158,210673.591294,,,,,,,,,,,,
Slovenia,1997,7996.722951000002,-12663.25722,7405.232751000001,-13254.747419999996,1504.4138510000012,-19155.566319999994,,,,,,,,,,,,
Slovakia,1997,3233.3467729999993,-20313.029021000002,1397.679232999999,-22148.696560999997,-16915.289796999998,-40461.665591,2652.847915459999,-20893.52787854,430.1811370999967,-23116.1946569,-21743.566008919996,-45289.941802919995,2454.5806154599995,-21091.79517854,99.73563709999871,-23446.6401569,-23392.646408919994,-46939.02220292
Belgium,1998,177662.985659,91336.71354300002,171303.01889900002,84976.74678300001,107854.77907900001,21528.50696300002,,,,,,,,,,,,
Bulgaria,1998,-29142.881457000003,-97943.53543099998,-31220.638677000003,-100021.292651,-51948.740466999996,-120749.39444099998,,,,,,,,,,,,
Cyprus,1998,7054.3284810000005,6313.724376,6732.619821,5992.015716,3523.192951000001,2782.5888460000006,,,,,,,,,,,,
Czechia,1998,12042.922438000009,-55309.61257699999,5981.7692980000065,-61370.76571699999,-54485.448931999985,-121837.98394699999,,,,,,,,,,,,
Germany,1998,1792437.548916,1482641.593408,1747854.3796559998,1438058.4241479998,1303084.1910859998,993288.235578,,,,,,,,,,,,
Denmark,1998,145778.160008,132784.088559,142241.905748,129247.834299,106963.55967799999,93969.488229,144910.11704249,131916.04559349,140795.16747215,127801.09602314999,99743.64675852,86749.57530952,144632.14844249,131638.07699349,140331.88647214998,127337.81502315,97431.65395852001,84437.58250952
Estonia,1998,1951.3081040000002,517.6813030000003,1335.756104,-97.87069699999938,-4805.1078959999995,-6238.734697,,,,,,,,,,,,
