countries,Year,External costs per capita (Territorial & Low GHG with VOLY) scenario [Euro],External costs per capita (Territorial & Low GHG with VSL) scenario [Euro],External costs per capita (Territorial & Central GHG with VOLY) scenario [Euro],External costs per capita (Territorial & Central GHG with VSL) scenario [Euro],External costs per capita (Territorial & High GHG with VOLY) scenario [Euro],External costs per capita (Territorial & High GHG with VSL) scenario [Euro],External costs per capita (Residential & Low GHG with VOLY) scenario [Euro],External costs per capita (Residential & Low GHG with VSL) scenario [Euro],External costs per capita (Residential & Central GHG with VOLY) scenario [Euro],External costs per capita (Residential & Central GHG with VSL) scenario [Euro],External costs per capita (Residential & High GHG with VOLY) scenario [Euro],External costs per capita (Residential & High GHG with VSL) scenario [Euro],External costs per capita (Footprint & Low GHG with VOLY) scenario [Euro],External costs per capita (Footprint & Low GHG with VSL) scenario [Euro],External costs per capita (Footprint & Central GHG with VOLY) scenario [Euro],External costs per capita (Footprint & Central GHG with VSL) scenario [Euro],External costs per capita (Footprint & High GHG with VOLY) scenario [Euro],External costs per capita (Footprint & High GHG with VSL) scenario [Euro]
Czechia,1995,7074.750014443789,18650.643741639175,7685.400379806334,19261.29410700172,13777.364739018389,25353.258466213774,,,,,,,,,,,,
Germany,1995,3113.6105602029997,7896.9552624417665,3678.9474107742562,8462.292113013023,9318.855515282743,14102.20021752151,,,,,,,,,,,,
Denmark,1995,2699.168091909877,5864.860566656403,3383.8741975697308,6549.566672316257,10214.63272784303,13380.325202589556,2795.215276075125,5960.907750821651,3543.952837845144,6709.64531259167,11013.501370741285,14179.19384548781,2873.7134617515744,6039.4059364981,3674.7831473058936,6840.47562205242,11666.406915097787,14832.099389844312
Estonia,1995,3467.4285150976298,4559.661739896069,3952.338647514804,5044.571872313243,8789.894492343285,9882.127717141724,,,,,,,,,,,,
Greece,1995,3472.048114587993,6812.607436066892,3896.7523179871473,7237.3116394660465,8133.682347135856,11474.241668614755,,,,,,,,,,,,
Spain,1995,3392.8453129317795,8176.363604783746,3700.7233870637756,8484.241678915741,6772.173698047257,11555.691989899224,,,,,,,,,,,,
Finland,1995,1788.142507953904,3235.714837978063,2175.6831541588394,3623.2554841829983,6041.8624579652205,7489.434787989379,,,,,,,,,,,,
France,1995,3740.2628210986745,8852.665143311895,4102.577714097576,9214.980036310797,7717.100099015194,12829.502421228415,,,,,,,,,,,,
Croatia,1995,3812.0933676733935,8072.873519954203,3939.941905942034,8200.722058222844,5215.383275812516,9476.163428093327,,,,,,,,,,,,
Hungary,1995,3727.2609089941666,10038.394175220332,4016.9142277516034,10328.047493977769,6906.550907736511,13217.684173962676,3782.158666085888,10093.291932312053,4108.41048957114,10419.543755797305,7363.160823864482,13674.294090090645,3872.0055998268303,10183.138866052996,4258.155379139377,10569.288645365543,8110.459129900258,14421.592396126422
Ireland,1995,4315.907659153268,8314.61579206458,5095.556760210995,9094.264893122308,12873.484696953568,16872.19282986488,,,,,,,,,,,,
Italy,1995,5139.082054139784,13841.785068726549,5517.181436580358,14219.884451167123,9289.172894737509,17991.875909324273,,,,,,,,,,,,
Lithuania,1995,781.4387301533274,1813.6095156425035,988.0363528210747,2020.2071383102511,3049.093588482651,4081.264373971827,,,,,,,,,,,,
Latvia,1995,2562.1368498508346,4776.223730894432,2524.909966487775,4738.996847531373,2153.5274872229643,4367.614368266562,,,,,,,,,,,,
Malta,1995,1139.0947207072707,2303.510893040727,1438.8997856192204,2603.315957952677,4429.812218907481,5594.2283912409375,1181.7341124184118,2346.150284751868,1509.9654384711223,2674.3816108045785,4784.463667425544,5948.879839759001,1395.0517546017484,2559.467926935205,1865.4948421100166,3029.911014443473,6558.724691299646,7723.1408636331025
Netherlands,1995,3669.796329087646,8933.758384561534,4317.987761961426,9581.949817435314,10784.468961345094,16048.43101681898,3705.5715484667458,8969.533603940632,4377.613127593259,9641.575183067145,11082.027928879193,16345.98998435308,3893.4982777807386,9157.460333254625,4690.824343116581,9954.786398590466,12645.101042538434,17909.06309801232
Norway,1995,1521.9797177656687,2931.2221806429043,1879.22760837396,3288.4700712511953,5443.200612299533,6852.443075176769,,,,,,,,,,,,
Poland,1995,3491.736716489898,7973.6313273742235,3959.208457790324,8441.10306867465,8622.795591239814,13104.69020212414,,,,,,,,,,,,
Portugal,1995,4472.877278664405,8049.461250303362,4721.651598980443,8298.235570619401,7203.471604038064,10780.05557567702,4543.292691602342,8119.8766632413,4839.010620543671,8415.594592182628,7789.149006886936,11365.732978525893,4600.552320489688,8177.136292128646,4934.443335355915,8511.027306994873,8265.403697949945,11841.987669588903
Romania,1995,2458.983748432684,5682.853007525318,2750.455696303965,5974.3249553966,5658.235366734128,8882.104625826762,,,,,,,,,,,,
Sweden,1995,779.450877633351,1719.1614842870333,925.6336685086545,1865.344275162337,2383.9810346218023,3323.691641275485,,,,,,,,,,,,
Slovenia,1995,5421.179217452627,15874.585459394604,5710.976445568358,16164.382687510335,8602.048792722911,19055.45503466489,,,,,,,,,,,,
Slovakia,1995,3241.526245531586,8139.391538079092,3584.7830726108978,8482.648365158404,7009.178561806891,11907.043854354397,3353.4524498381033,8251.317742385609,3771.3267464550945,8669.1920390026,7940.120324610307,12837.985617157812,3381.6319806142665,8279.497273161773,3818.2926310820326,8716.157923629538,8174.502453605694,13072.367746153199
Belgium,1996,5748.976784885252,14821.243620580679,6389.751538270502,15462.01837396593,12782.242530375734,21854.50936607116,,,,,,,,,,,,
Bulgaria,1996,6581.654477105066,15645.664596113285,6865.872903133857,15929.883022142076,9701.290058040137,18765.300177048357,,,,,,,,,,,,
Cyprus,1996,3164.811912550489,4226.41414343024,3628.735317285585,4690.337548165337,8256.923569285713,9318.525800165466,,,,,,,,,,,,
Czechia,1996,6795.856889761643,17664.801472753938,7421.8038478322205,18290.74843082451,13666.369929536308,24535.3145125286,,,,,,,,,,,,
Germany,1996,2912.202139410299,7306.37974861588,3487.7311635864107,7881.908772791991,9229.318333343335,13623.495942548916,,,,,,,,,,,,
