countries,Year,GDP [Euro],Population,GrDP (Territorial & Low GHG with VOLY) scenario [Euro],GrDP (Territorial & Low GHG with VSL) scenario [Euro],GrDP (Territorial & Central GHG with VOLY) scenario [Euro],GrDP (Territorial & Central GHG with VSL) scenario [Euro],GrDP (Territorial & High GHG with VOLY) scenario [Euro],GrDP (Territorial & High GHG with VSL) scenario [Euro],GrDP (Residential & Low GHG with VOLY) scenario [Euro],GrDP (Residential & Low GHG with VSL) scenario [Euro],GrDP (Residential & Central GHG with VOLY) scenario [Euro],GrDP (Residential & Central GHG with VSL) scenario [Euro],GrDP (Residential & High GHG with VOLY) scenario [Euro],GrDP (Residential & High GHG with VSL) scenario [Euro],GrDP (Footprint & Low GHG with VOLY) scenario [Euro],GrDP (Footprint & Low GHG with VSL) scenario [Euro],GrDP (Footprint & Central GHG with VOLY) scenario [Euro],GrDP (Footprint & Central GHG with VSL) scenario [Euro],GrDP (Footprint & High GHG with VOLY) scenario [Euro],GrDP (Footprint & High GHG with VSL) scenario [Euro],GrDP per capita (Territorial & Low GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & Low GHG with VSL) scenario [Euro],GrDP per capita (Territorial & Central GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & Central GHG with VSL) scenario [Euro],GrDP per capita (Territorial & High GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & High GHG with VSL) scenario [Euro],GrDP per capita (Residential & Low GHG with VOLY) scenario [Euro],GrDP per capita (Residential & Low GHG with VSL) scenario [Euro],GrDP per capita (Residential & Central GHG with VOLY) scenario [Euro],GrDP per capita (Residential & Central GHG with VSL) scenario [Euro],GrDP per capita (Residential & High GHG with VOLY) scenario [Euro],GrDP per capita (Residential & High GHG with VSL) scenario [Euro],GrDP per capita (Footprint & Low GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & Low GHG with VSL) scenario [Euro],GrDP per capita (Footprint & Central GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & Central GHG with VSL) scenario [Euro],GrDP per capita (Footprint & High GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & High GHG with VSL) scenario [Euro],GDP per capita [Euro]
Slovenia,2001,23249100000.0,1990094.0,14657092536.0,-2317301981.0,14077849536.0,-2896544981.0,8299211036.0,-8675183481.0,,,,,,,,,,,,,7365.025238003833,-1164.4183546103852,7073.962102292656,-1455.4814903215627,4170.260819840671,-4359.182772773547,,,,,,,,,,,,,11682.412991547133
Slovenia,2002,24972400000.0,1994026.0,16922149213.0,1004916832.0,16378124893.0,460892512.0,10950834653.0,-4966397728.0,,,,,,,,,,,,,8486.423553654768,503.96375573839055,8213.596459123402,231.13666120702538,5491.821397012877,-2490.6384009034987,,,,,,,,,,,,,12523.608017147219
Slovenia,2003,26247500000.0,1995033.0,18291737645.0,2594873466.0,17748749465.0,2051885286.0,12331795955.0,-3365068224.0,,,,,,,,,,,,,9168.639137798724,1300.6669393438606,8896.469113543486,1028.4969150886227,6181.2491096638505,-1686.7230887910125,,,,,,,,,,,,,13156.423978951727
Slovenia,2004,27692000000.0,1996433.0,20106245059.0,5307202848.0,19551794239.0,4752752028.0,14020487249.0,-778554962.0,,,,,,,,,,,,,10071.084308363967,2658.342577987841,9793.363583451084,2380.6218530749593,7022.768732534475,-389.97299784165057,,,,,,,,,,,,,13870.73846204706
Slovenia,2005,29122300000.0,1997590.0,21347610025.0,6212889596.0,20784020425.0,5649299996.0,15161543225.0,26822796.0,,,,,,,,,,,,,10686.682464870168,3110.192580058971,10404.547692469425,2828.0578076582283,7589.917463042967,13.427578231769282,,,,,,,,,,,,,14578.717354412067
Slovenia,2006,31476100000.0,2003358.0,24651762321.0,11741048337.0,24080900841.0,11170186857.0,18385877981.0,5475163997.0,,,,,,,,,,,,,12305.220694953174,5860.684079929798,12020.268389873403,5575.731774850027,9177.529917768068,2732.993302744692,,,,,,,,,,,,,15711.670105892206
Slovenia,2007,35073500000.0,2010377.0,28064814470.0,14708903666.0,27499304630.0,14143393826.0,21857670750.0,8501759946.0,,,,,,,,,,,,,13959.97590004263,7316.490223475497,13678.680481322657,7035.194804755526,10872.423804092467,4228.9381275253345,,,,,,,,,,,,,17446.230234428665
Slovenia,2008,37925700000.0,2010269.0,30932682523.0,17747782715.0,30326262583.0,17141362775.0,24276501753.0,11091601945.0,30572169774.46,17387269966.46,29725408002.1,16540508194.099998,21277951273.08,8093051465.080002,30251600574.46,17066700766.46,29191126002.1,16006226194.099998,18611629673.08,5426729865.080002,15387.334989993877,8828.56111047825,15085.673898866271,8526.900019350644,12076.245394521828,5517.471515006201,15207.999414237596,8649.225534721969,14786.781272605805,8228.007393090178,10584.628859660077,4025.854980144449,15048.53359150442,8489.759711988792,14521.004901383843,7962.231021868217,9258.27820708572,2699.5043275700923,18865.98261227726
Slovenia,2009,36254900000.0,2032362.0,30123455307.0,18565513223.0,29605701147.0,18047759063.0,24440487027.0,12882544943.0,29719628681.91,18161686597.91,28932656771.85,17374714687.85,21081675097.68,9523733013.68,29519710781.91,17961768697.91,28599460271.85,17041518187.849998,19418865897.68,7860923813.68,14821.894577343997,9134.944081320158,14567.139686236998,8880.189190213161,12025.656367812428,6338.705871788588,14623.196400006495,8936.245903982657,14235.976057341162,8549.025561317323,10372.992162656063,4686.041666632224,14524.829130789692,8837.878634765853,14072.03060864649,8385.080112622652,9554.826304408369,3867.87580838453,17838.800371193716
Slovenia,2010,36363900000.0,2046976.0,30073185644.0,18266622663.0,29542677344.0,17736114363.0,24250225494.0,12443662513.0,29664722886.71,17858159905.71,28861906081.85,17055343100.849998,20852852719.08,9046289738.080002,29445539586.71,17638976605.71,28496600581.85,16690037600.849998,19029804319.08,7223241338.080002,14691.51843695285,8923.711202769353,14432.351597673836,8664.544363490339,11846.853843914145,6079.046609730646,14491.973959005869,8724.166724822371,14099.7774677622,8331.970233578702,10187.150567021794,4419.343332838295,14384.897324985735,8617.090090802236,13921.316411061976,8153.509176878478,9296.544912632098,3528.7376784486,17764.692893321662
Slovenia,2011,37058600000.0,2050189.0,30833066348.0,19180442067.0,30301837328.0,18649213047.0,25002195438.0,13349571157.0,30458994091.19,18806369810.19,29678383566.65,18025759285.65,21890864286.12,10238240005.119999,30141751291.19,18489127010.19,29149645566.65,17497021285.65,19252209886.12,7599585605.119999,15039.133634996579,9355.450676498605,14780.021416562084,9096.33845806411,12195.068570751282,6511.38561225331,14856.67618506879,9172.993226570818,14475.925666682439,8792.242708184465,10677.485971351909,4993.803012853937,14701.93786582115,9018.254907323178,14218.028467936372,8534.345509438399,9390.456141419156,3706.773182921184,18075.69936235147
Slovenia,2012,36253300000.0,2055496.0,30297610307.0,19113153783.0,29790406967.0,18605950443.0,24730449837.0,13545993313.0,29942195147.39,18757738623.39,29198048367.65,18013591843.65,21774298350.72,10589841826.720001,29744879147.39,18560422623.39,28869188367.65,17684731843.65,20133130350.72,8948673826.720001,14739.805043162332,9298.560436507782,14493.050323133686,9051.805716479137,12031.378235228869,6590.13362857432,14566.895361212086,9125.650754557537,14204.867519883279,8763.62291322873,10593.208817103026,5151.9642104484765,14470.901012402846,9029.656405748296,14044.876938534544,8603.632331879995,9794.779630181718,4353.535023527169,17637.25154415285
Slovenia,2013,36454300000.0,2058821.0,30548316182.0,19628709520.0,29999179622.0,19079572960.0,24520888702.0,13601282040.0,30281118257.93,19361511595.93,29553849748.55,18634243086.55,22298480571.64,11378873909.64,30095721857.93,19176115195.93,29244855748.55,18325249086.55,20756453371.64,9836846709.64,14837.771803376787,9533.956337146357,14571.048003687547,9267.232537457117,11910.16057345442,6606.345107223989,14707.98979509632,9404.174328865889,14354.744656553436,9050.929190323004,10830.703869661325,5526.888403430896,14617.94000446372,9314.12453823329,14204.661672165768,8900.846205935339,10081.718309479065,4777.902843248636,17706.396039286563
