countries,Year,GHG [t],GDP [MIO_EURO],Population,As [t],Pb [t],NOx [t],SOx [t],NH3 [t],PM2.5 [t],PM10 [t],NMVOC [t],Cd [t],Hg [t],Cr [t],Ni [t]
Portugal,1994,55958460.0,,9974391.0,3.0,768.0,285498.0,287966.0,70180.0,62596.0,79830.0,241237.0,2.0,2.0,12.0,105.0
Romania,1994,150375320.0,,22748027.0,38.0,359.0,373474.0,665391.0,213037.0,67788.0,107613.0,283178.0,4.0,2.0,17.0,64.0
Sweden,1994,31342630.0,192863.0,8745109.0,2.0,48.0,269163.0,80858.0,61699.0,43427.0,63963.0,292767.0,1.0,1.0,15.0,32.0
Slovenia,1994,13032090.0,,1989408.0,1.0,36.0,76000.0,185035.0,21790.0,13902.0,16924.0,62726.0,1.0,0.0,2.0,2.0
Slovakia,1994,42735870.0,,5336455.0,2.0,48.0,110721.0,123406.0,39409.0,57747.0,67855.0,183037.0,1.0,1.0,4.0,4.0
Belgium,1995,151295950.0,220251.5,10130574.0,6.0,202.0,409747.0,257734.0,136386.0,43944.0,60521.0,311570.0,5.0,3.0,34.0,72.0
Bulgaria,1995,55708340.0,14512.8,8427418.0,15.0,479.0,211000.0,1697626.0,52025.0,31496.0,54458.0,159453.0,6.0,3.0,14.0,49.0
Cyprus,1995,6900410.0,7596.0,645399.0,0.0,27.0,21091.0,39626.0,6678.0,2595.0,4869.0,13770.0,0.0,0.0,0.0,7.0
Czechia,1995,150236870.0,46008.4,10333161.0,17.0,256.0,390931.0,1058822.0,87381.0,120875.0,167868.0,385661.0,2.0,4.0,17.0,28.0
Germany,1995,1097542310.0,1977604.1,81538603.0,9.0,679.0,2168846.0,1742638.0,620153.0,201558.0,346957.0,2362938.0,19.0,20.0,94.0,204.0
Denmark,1995,85029380.0,141441.4,5215718.0,1.0,29.0,282481.0,145229.0,117358.0,23296.0,34949.0,210034.0,1.0,2.0,3.0,13.0
Estonia,1995,16718720.000000002,2988.1,1448075.0,10.0,83.0,47535.0,116543.0,9721.0,12089.0,40569.0,40019.0,2.0,1.0,9.0,10.0
Greece,1995,106539810.0,104662.1,10535973.0,3.0,405.0,402274.0,492082.0,79864.0,61918.0,86975.0,307250.0,8.0,2.0,7.0,47.0
Spain,1995,290576250.0,470155.7,39639726.0,10.0,790.0,1320111.0,1767292.0,491684.0,196991.0,296379.0,918895.0,21.0,13.0,29.0,191.0
European Union - 27 countries (from 2020),1995,4243940780.0,6337710.4,423960534.0,253.0,9156.0,13087008.0,14254031.0,4114521.0,2333549.0,3342214.0,12806916.0,123.0,113.0,657.0,1554.0
Finland,1995,47047010.0,102643.6,5098754.0,5.0,73.0,273175.0,104542.0,34675.0,31838.0,50998.0,204380.0,2.0,1.0,36.0,47.0
France,1995,511684720.0,1224717.2,59315139.0,17.0,1455.0,1981717.0,938425.0,655677.0,443313.0,552057.0,2517841.0,18.0,21.0,197.0,214.0
Croatia,1995,14181730.0,17524.7,4658893.0,1.0,264.0,78924.0,77261.0,38326.0,37831.0,55224.0,119601.0,1.0,0.0,4.0,14.0
Hungary,1995,71287130.0,35469.4,10336700.0,3.0,145.0,191299.0,613452.0,80668.0,52311.0,74023.0,213282.0,2.0,2.0,12.0,20.0
Ireland,1995,66782830.00000001,52881.3,3597617.0,2.0,101.0,170807.0,163301.0,116707.0,21465.0,36754.0,141892.0,1.0,1.0,5.0,27.0
Iceland,1995,13141850.0,5441.5,266978.0,0.0,1.0,32225.0,21945.0,4439.0,1626.0,3451.0,9399.0,0.0,0.0,0.0,2.0
Italy,1995,511734180.0,898299.3,56844408.0,28.0,2023.0,1988207.0,1322325.0,454319.0,236638.0,343657.0,2050655.0,11.0,14.0,80.0,112.0
Lithuania,1995,17919840.0,5121.7,3642991.0,0.0,4.0,74129.0,86039.0,40726.0,7909.0,9642.0,88084.0,0.0,0.0,2.0,17.0
Latvia,1995,-2216400.0,4137.4,2500580.0,8.0,128.0,52991.0,49393.0,15929.0,28405.0,32628.0,62935.0,1.0,0.0,2.0,8.0
Malta,1995,2687060.0,2846.6,376433.0,0.0,1.0,8135.0,10722.0,2282.0,708.0,1070.0,5848.0,0.0,0.0,0.0,6.0
Netherlands,1995,238042470.0,346000.8,15424122.0,1.0,155.0,581291.0,137093.0,218354.0,45143.0,62388.0,435798.0,3.0,2.0,9.0,86.0
Norway,1995,36987150.0,116241.0,4348410.0,3.0,25.0,215574.0,34475.0,29716.0,43153.0,53633.0,400170.0,1.0,1.0,12.0,0.0
